Country,Year,Diabetes_Prevalence_pct
Lesotho,2011,3.4
Lesotho,2024,6.2
Liberia,2011,3.3
Liberia,2024,9.2
Libya,2011,13.8
Libya,2024,15.8
Liechtenstein,2011,4.7
Liechtenstein,2024,7.2
Lithuania,2011,7.8
Lithuania,2024,7.5
Luxembourg,2011,4.5
Luxembourg,2024,5.8
"Macao SAR, China",2011,7.2
"Macao SAR, China",2024,8.1
Madagascar,2011,4.7
Madagascar,2024,4.6
Malawi,2011,5.6
Malawi,2024,5.7
Malaysia,2011,12.1
Malaysia,2024,21.1
Maldives,2011,9.2
Maldives,2024,9.5
Mali,2011,1.9
Mali,2024,4.8
Malta,2011,6.6
Malta,2024,10.0
Marshall Islands,2011,21.8
Marshall Islands,2024,25.7
Mauritania,2011,4.3
Mauritania,2024,5.2
Mauritius,2011,14.8
Mauritius,2024,20.1
Mexico,2011,15.6
Mexico,2024,16.4
"Micronesia, Fed. Sts.",2011,15.7
"Micronesia, Fed. Sts.",2024,19.2
Moldova,2011,2.7
Moldova,2024,6.3
Monaco,2011,5.6
Monaco,2024,6.9
Mongolia,2011,7.1
Mongolia,2024,10.3
Montenegro,2011,7.7
Montenegro,2024,10.7
Morocco,2011,6.8
Morocco,2024,11.9
Mozambique,2011,3.1
Mozambique,2024,3.0
Myanmar,2011,7.1
Myanmar,2024,6.7
Namibia,2011,7.8
Namibia,2024,5.3
Nauru,2011,20.4
Nauru,2024,21.8
Nepal,2011,3.6
Nepal,2024,7.7
Netherlands,2011,5.3
Netherlands,2024,5.0
New Caledonia,2011,8.6
New Caledonia,2024,22.0
New Zealand,2011,8.6
New Zealand,2024,6.7
Nicaragua,2011,11.0
Nicaragua,2024,10.4
Niger,2011,4.2
Niger,2024,4.1
Nigeria,2011,4.8
Nigeria,2024,3.0
North Macedonia,2011,7.7
North Macedonia,2024,7.4
Norway,2011,4.7
Norway,2024,4.8
Oman,2011,10.5
Oman,2024,17.0
Pakistan,2011,7.9
Pakistan,2024,31.4
Palau,2011,11.1
Palau,2024,19.3
Panama,2011,9.4
Panama,2024,11.1
Papua New Guinea,2011,7.6
Papua New Guinea,2024,14.1
Paraguay,2011,6.5
Paraguay,2024,9.4
Peru,2011,6.0
Peru,2024,6.4
Philippines,2011,9.7
Philippines,2024,7.5
Poland,2011,9.0
Poland,2024,8.1
Portugal,2011,9.6
Portugal,2024,10.5
Puerto Rico (US),2011,13.0
Puerto Rico (US),2024,10.9
Qatar,2011,19.8
Qatar,2024,24.6
Romania,2011,7.7
Romania,2024,7.5
Russian Federation,2011,9.7
Russian Federation,2024,5.9
Rwanda,2011,3.1
Rwanda,2024,2.1
Samoa,2011,7.7
Samoa,2024,25.4
San Marino,2011,5.5
San Marino,2024,8.6
Sao Tome and Principe,2011,5.5
Sao Tome and Principe,2024,12.1
Saudi Arabia,2011,19.6
Saudi Arabia,2024,23.1
Senegal,2011,3.2
Senegal,2024,3.8
Serbia,2011,7.7
Serbia,2024,10.5
Seychelles,2011,12.1
Seychelles,2024,9.3
Sierra Leone,2011,3.2
Sierra Leone,2024,4.8
Singapore,2011,9.5
Singapore,2024,11.4
Slovak Republic,2011,5.7
Slovak Republic,2024,7.1
Slovenia,2011,7.5
Slovenia,2024,7.0
Solomon Islands,2011,15.3
Solomon Islands,2024,12.0
"Somalia, Fed. Rep.",2011,4.3
"Somalia, Fed. Rep.",2024,5.8
South Africa,2011,7.0
South Africa,2024,7.2
South Sudan,2024,4.6
Spain,2011,6.3
Spain,2024,9.7
Sri Lanka,2011,7.5
Sri Lanka,2024,10.2
St. Kitts and Nevis,2011,8.5
St. Kitts and Nevis,2024,13.8
St. Lucia,2011,8.4
St. Lucia,2024,11.4
St. Vincent and the Grenadines,2011,8.8
St. Vincent and the Grenadines,2024,8.6
Sudan,2011,8.6
Sudan,2024,19.0
Suriname,2011,8.9
Suriname,2024,13.8
Sweden,2011,4.2
Sweden,2024,5.8
Switzerland,2011,5.9
Switzerland,2024,5.3
Syrian Arab Republic,2011,9.9
Syrian Arab Republic,2024,19.0
Tajikistan,2011,6.3
Tajikistan,2024,8.0
Tanzania,2011,2.8
Tanzania,2024,9.8
Thailand,2011,7.5
Thailand,2024,10.2
Timor-Leste,2011,7.5
Timor-Leste,2024,3.2
Togo,2011,3.3
Togo,2024,4.8
Tonga,2011,12.7
Tonga,2024,19.6
Trinidad and Tobago,2011,12.7
Trinidad and Tobago,2024,12.4
Tunisia,2011,9.5
Tunisia,2024,16.0
Turkiye,2011,7.9
Turkiye,2024,16.5
Turkmenistan,2011,2.7
Turkmenistan,2024,7.1
Tuvalu,2011,19.2
Tuvalu,2024,19.0
Uganda,2011,2.8
Uganda,2024,2.2
Ukraine,2011,2.9
Ukraine,2024,6.0
United Arab Emirates,2011,18.8
United Arab Emirates,2024,20.7
United Kingdom,2011,5.2
United Kingdom,2024,7.4
United States,2011,9.4
United States,2024,13.7
Uruguay,2011,5.7
Uruguay,2024,7.8
Uzbekistan,2011,6.4
Uzbekistan,2024,7.5
Vanuatu,2011,16.1
Vanuatu,2024,19.7
"Venezuela, RB",2011,10.2
"Venezuela, RB",2024,8.6
Viet Nam,2011,3.2
Viet Nam,2024,3.4
Virgin Islands (U.S.),2011,12.1
Virgin Islands (U.S.),2024,9.1
West Bank and Gaza,2011,9.2
West Bank and Gaza,2024,15.5
"Yemen, Rep.",2011,9.6
"Yemen, Rep.",2024,5.5
Zambia,2011,4.8
Zambia,2024,10.3
Zimbabwe,2011,9.8
Zimbabwe,2024,1.5
